region_id,region_name,area_km2,bus_x,bus_y
1,Albertslund,23.239677077985096,12.349817826134325,55.674043965131226
2,Allerød,68.04159196733194,12.338085514466629,55.85473491863878
3,Ballerup,34.06161301182193,12.365710625681597,55.72892372828271
4,Bornholm,588.7692868795615,14.925860339891647,55.14305153383423
5,Brøndby,21.388666419969656,12.405709206021987,55.638023891766444
6,Christiansø,0.33185298251682244,15.187665120189257,55.320817742124916
7,Dragør,19.034036570693175,12.635500037663146,55.58130247386865
8,Egedal,125.96098162953406,12.209502359978094,55.762975831722684
9,Fredensborg,111.66249244729886,12.442878921854215,55.94980097085392
10,Frederiksberg,8.602690168224996,12.52473981676749,55.68040733923729
11,Frederikssund,252.25137962424185,12.133302020607609,55.834953755102525
12,Furesø,56.615527853239556,12.374411778955107,55.80685857554552
13,Gentofte,25.92721402860863,12.545742485760366,55.7511843891546
14,Gladsaxe,25.08764192871793,12.475761045401146,55.74624170740521
15,Glostrup,13.346407946065217,12.41152170779817,55.68090616994622
16,Gribskov,280.5936526950825,12.219261450035358,56.04420951632466
17,Halsnæs,123.15328328599755,11.897302036331002,55.95753087347635
18,Helsingør,122.35533619120548,12.51031625529637,56.03874580478158
19,Herlev,11.964910525042031,12.429538573142741,55.73321625654949
20,Hillerød,213.20783963275733,12.232720290961325,55.923613964711
21,HøjeTaastrup,77.60581470210006,12.242779553317483,55.65666774696862
22,Hørsholm,31.46222020351608,12.475726549776363,55.88648840944176
23,Hvidovre,23.10744880378531,12.46721855578201,55.634516199746166
24,Ishøj,26.223333694588604,12.337886673402394,55.61587720497473
25,København,89.42704570168605,12.601023600877738,55.65601291223043
26,Lyngby-Taarbæk,38.76675084511872,12.505877329769964,55.78542674675569
27,Rødovre,12.198583621804957,12.448656682307602,55.69000474780681
28,Rudersdal,73.14462949880034,12.483848791156758,55.83601951549642
29,Tårnby,67.13082646116753,12.571296350449968,55.609623165289705
30,Vallensbæk,8.829243837161094,12.367463890218138,55.634902999335864
31,Århus,472.73049323567153,10.099684902562538,56.16306511585808
32,Favrskov,541.883466156969,9.928956031015412,56.321524771991065
33,Hedensted,552.6577323701798,9.782007155756137,55.79728409939586
34,Herning,1324.091297087189,8.907048053423477,56.14700806726039
35,Holstebro,801.5243966196688,8.709684109429078,56.39658392758884
36,Horsens,526.01982144487,9.769921849999017,55.938707211275506
37,Ikast-Brande,735.8398321597991,9.25414750263727,56.05450928526788
38,Lemvig,513.6466130444423,8.301415410638622,56.5290527288902
39,Norddjurs,725.8035288171965,10.610789209469434,56.44948291112281
40,Odder,226.07246120673656,10.14231275394306,55.92905254200424
41,Randers,752.2532010363702,10.00191399777804,56.53852947847886
42,Ringkøbing-Skjern,1474.4455872810086,8.555913411358128,56.02319983039324
43,Samsø,113.97612374549584,10.612676581539395,55.88172850049102
44,Silkeborg,864.4100425597308,9.611820777652593,56.17853118882631
